Indicator,Domain,Primary_Analytical_Role,Evidence_Strength,Monitoring_Role,Interpretive_Limitation
Richness,TAXONOMIC_DIVERSITY,Species-diversity representation,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Monitor diversity composition and community balance.,Plot-level diversity measure; does not by itself indicate condition or conservation value.
Pielou,TAXONOMIC_DIVERSITY,Taxonomic evenness,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Monitor diversity composition and community balance.,Evenness metric sensitive to abundance structure; not a direct measure of disturbance.
CWM_WD,FUNCTIONAL_COMPOSITION,Community wood-density strategy,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Monitor changes in dominant ecological trait strategy.,Community-weighted trait composition; reflects dominant species strategies rather than all species equally.
CWM_SLA,FUNCTIONAL_COMPOSITION,Leaf economic strategy,TWO_EVIDENCE_LINES,Monitor changes in dominant ecological trait strategy.,Trait-economic indicator; high SLA should not be equated automatically with degradation.
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Community reproductive-size strategy,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Monitor changes in dominant ecological trait strategy.,Log-transformed community-weighted reproductive trait.
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Community potential stature,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Monitor changes in dominant ecological trait strategy.,Species maximum-height composition is distinct from measured plot canopy height.
FDis,FUNCTIONAL_DIVERSITY,Functional trait dispersion,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Monitor breadth and distribution of ecological strategies.,Zone × Habitat interaction is dependent on HC3 robust inference.
FEve,FUNCTIONAL_DIVERSITY,Functional-space evenness,TWO_EVIDENCE_LINES,Monitor breadth and distribution of ecological strategies.,One plot lacks FEve; factorial effects were not FDR-supported.
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Estimated plot tree-size structure,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Monitor forest size and vertical structural configuration.,Estimated from validated species × Habitat × Zone structural summaries; not direct plot stem measurement.
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Estimated vertical structural development,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Monitor forest size and vertical structural configuration.,Estimated from validated species × Habitat × Zone structural summaries; not direct plot canopy measurement.
Ecological_Typology,INTEGRATED_ECOLOGY,Integrated ecological state classification,VALIDATED_MULTIVARIATE_STATE,Monitor transitions among integrated ecological states.,"Descriptive multivariate ecological syndrome; does not imply disturbance, succession or condition."
