Indicator,Domain,Monitoring_Role,Evidence_Strength,Interpretive_Limitation,Monitoring_Priority
Richness,TAXONOMIC_DIVERSITY,Monitor diversity composition and community balance.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Plot-level diversity measure; does not by itself indicate condition or conservation value.,CORE_MONITORING_INDICATOR
Pielou,TAXONOMIC_DIVERSITY,Monitor diversity composition and community balance.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Evenness metric sensitive to abundance structure; not a direct measure of disturbance.,CORE_MONITORING_INDICATOR
CWM_WD,FUNCTIONAL_COMPOSITION,Monitor changes in dominant ecological trait strategy.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Community-weighted trait composition; reflects dominant species strategies rather than all species equally.,CORE_MONITORING_INDICATOR
CWM_SLA,FUNCTIONAL_COMPOSITION,Monitor changes in dominant ecological trait strategy.,TWO_EVIDENCE_LINES,Trait-economic indicator; high SLA should not be equated automatically with degradation.,HIGH_VALUE_MONITORING_INDICATOR
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,Monitor changes in dominant ecological trait strategy.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Log-transformed community-weighted reproductive trait.,CORE_MONITORING_INDICATOR
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,Monitor changes in dominant ecological trait strategy.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Species maximum-height composition is distinct from measured plot canopy height.,CORE_MONITORING_INDICATOR
FDis,FUNCTIONAL_DIVERSITY,Monitor breadth and distribution of ecological strategies.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Zone × Habitat interaction is dependent on HC3 robust inference.,CORE_MONITORING_INDICATOR
FEve,FUNCTIONAL_DIVERSITY,Monitor breadth and distribution of ecological strategies.,TWO_EVIDENCE_LINES,One plot lacks FEve; factorial effects were not FDR-supported.,HIGH_VALUE_MONITORING_INDICATOR
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,Monitor forest size and vertical structural configuration.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Estimated from validated species × Habitat × Zone structural summaries; not direct plot stem measurement.,CORE_MONITORING_INDICATOR
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,Monitor forest size and vertical structural configuration.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES,Estimated from validated species × Habitat × Zone structural summaries; not direct plot canopy measurement.,CORE_MONITORING_INDICATOR
Ecological_Typology,INTEGRATED_ECOLOGY,Monitor transitions among integrated ecological states.,VALIDATED_MULTIVARIATE_STATE,"Descriptive multivariate ecological syndrome; does not imply disturbance, succession or condition.",HIGH_VALUE_MONITORING_INDICATOR
