Claim_ID,Claim,Evidence_Class,Evidence,Required_Boundary,Headline_Eligible
CLM01,The validated four-state ecological typology is highly recoverable from the ecological metrics used to construct it.,SUPPORTED_WITH_QUALIFICATION,Ecological logistic classification achieved mean Macro F1 ≈ 0.968 and balanced accuracy ≈ 0.964.,Internal characterization only; not independent prediction.,True
CLM02,Habitat and Management Zone contain meaningful contextual information about ecological-state membership.,SUPPORTED,Contextual logistic classification outperformed stratified and class-prior null benchmarks.,Contextual association; Habitat/Zone are not independent environmental drivers.,True
CLM03,"PC2 is strongly structured by Habitat and Management Zone, whereas PC1 shows comparatively little contextual predictability.",SUPPORTED,Contextual PC2 Ridge mean CV R2 ≈ 0.598; PC1 mean CV R2 ≈ 0.008.,"Predictive/contextual structure, not causal attribution.",True
CLM04,Cross-domain ecological predictability is selective rather than universal.,SUPPORTED,Only 8 of 30 target-level cross-domain experiments advanced beyond the initial screening stage; 22 were limited or unstable.,Cross-domain predictive association only.,True
CLM05,Functional composition predicts species richness with moderate out-of-fold predictive strength.,SUPPORTED,Random Forest mean CV R2 ≈ 0.475 with 98% fold win rate versus null.,Predictive association; not causal.,True
CLM06,Community-weighted wood density is the dominant functional-composition predictor of species richness.,SUPPORTED,Ranked #1 by both permutation importance and SHAP in the richness model.,Importance reflects fitted predictive contribution.,True
CLM07,The CWM wood-density–richness relationship is nonlinear and shows a moderately stable transition-like response.,SUPPORTED_WITH_QUALIFICATION,Transition detected in 100% of bootstrap refits; CWM-WD ranked #1 by SHAP in 93%; positive SHAP direction in 100%.,Transition location is uncertain; not a universal threshold or tipping point.,True
CLM08,Taxonomic diversity predicts community-weighted wood density through a robust approximately linear relationship.,SUPPORTED,Ridge mean CV R2 ≈ 0.337 and high specification robustness.,Standardized predictive association.,True
CLM10,Predictive uncertainty is heterogeneous across ecological contexts.,SUPPORTED,Repeated OOF error and uncertainty profiles differ among Habitat × Zone cells.,Uncertainty is not a direct measure of ecological condition.,True
CLM11,Stream × Transition plots show the highest concentration of recurrent cross-model uncertainty.,SUPPORTED_WITH_QUALIFICATION,8/10 plots recurrent moderate-or-high; 3/10 recurrent-high.,Suggests weaker or more heterogeneous ecological coupling; does not prove disturbance or degradation.,True
CLM12,"Richness, CWM wood density and Pielou form a parsimonious monitoring-oriented ecological information set.",SUPPORTED_WITH_QUALIFICATION,These variables received the highest accumulated monitoring-evidence scores.,Monitoring prioritization within the current dataset; not a new condition index.,True
