Result_Domain,Key_Result
Dataset,"90 plots, 127 canonical taxa and 1,750 individuals integrated."
Structural,Validated structural evidence represented 89.37% of total abundance.
Multivariate,Four PCA axes explained >70% cumulative ecological variance.
Factorial ecology,"Habitat, Management Zone and their interaction structured multiple ecological dimensions."
Cross-domain coupling,Five of six ecological-domain pairs remained or became significant after Habitat/Zone adjustment.
Typology,Four ecological states validated from 82 complete >=75%-coverage plots.
Core,Core dominated by T1 dense-wood conservative state.
Buffer,Buffer dominated by T2 structurally developed diverse state.
Transition,"Transition dominated by T4/T3 states with low WD, high SLA and lower richness."
Monitoring,Eleven final ecological indicators retained for multidimensional repeat monitoring.
