Indicator,Domain,Indicator_Type,Primary_Analytical_Role,Authoritative_Dataset,Structural_Coverage_Requirement,Zone_FDR_Significant,Habitat_FDR_Significant,Interaction_FDR_Significant,Primary_Interpretation,Robustness_Qualification,N_Persistent_Adjusted_Couplings,N_Emergent_Adjusted_Couplings,Coupling_Relevance,Maximum_Absolute_Typology_Centroid,Typologies_With_Abs_Centroid_ge_0_5,Monitoring_Role,Interpretive_Limitation,Evidence_Strength
Richness,TAXONOMIC_DIVERSITY,DIVERSITY,Species-diversity representation,FULL_90_PLOT_BACKBONE,NOT_APPLICABLE,True,False,False,ZONE_MAIN_EFFECT,,0.0,2.0,0 persistent and 2 emergent adjusted cross-domain associations.,1.2253733249034562,3.0,Monitor diversity composition and community balance.,Plot-level diversity measure; does not by itself indicate condition or conservation value.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES
Pielou,TAXONOMIC_DIVERSITY,DIVERSITY,Taxonomic evenness,FULL_90_PLOT_BACKBONE,NOT_APPLICABLE,False,False,True,INTERACTION_SIMPLE_EFFECTS,,4.0,1.0,4 persistent and 1 emergent adjusted cross-domain associations.,0.8588520310519837,3.0,Monitor diversity composition and community balance.,Evenness metric sensitive to abundance structure; not a direct measure of disturbance.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES
CWM_WD,FUNCTIONAL_COMPOSITION,TRAIT_COMPOSITION,Community wood-density strategy,FULL_90_PLOT_BACKBONE,NOT_APPLICABLE,True,True,True,INTERACTION_SIMPLE_EFFECTS,,0.0,1.0,0 persistent and 1 emergent adjusted cross-domain associations.,1.2186169291254945,3.0,Monitor changes in dominant ecological trait strategy.,Community-weighted trait composition; reflects dominant species strategies rather than all species equally.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES
CWM_SLA,FUNCTIONAL_COMPOSITION,TRAIT_COMPOSITION,Leaf economic strategy,FULL_90_PLOT_BACKBONE,NOT_APPLICABLE,True,False,False,ZONE_MAIN_EFFECT,,0.0,0.0,No FDR-supported adjusted metric-level cross-domain association.,1.3380407083337027,3.0,Monitor changes in dominant ecological trait strategy.,Trait-economic indicator; high SLA should not be equated automatically with degradation.,TWO_EVIDENCE_LINES
CWM_Log10_Seed_Mass,FUNCTIONAL_COMPOSITION,TRAIT_COMPOSITION,Community reproductive-size strategy,FULL_90_PLOT_BACKBONE,NOT_APPLICABLE,True,True,True,INTERACTION_SIMPLE_EFFECTS,,1.0,0.0,1 persistent and 0 emergent adjusted cross-domain associations.,1.144671203413678,2.0,Monitor changes in dominant ecological trait strategy.,Log-transformed community-weighted reproductive trait.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES
CWM_Max_Height_m,FUNCTIONAL_COMPOSITION,TRAIT_COMPOSITION,Community potential stature,FULL_90_PLOT_BACKBONE,NOT_APPLICABLE,False,False,True,INTERACTION_SIMPLE_EFFECTS,,1.0,2.0,1 persistent and 2 emergent adjusted cross-domain associations.,0.9787119860260349,2.0,Monitor changes in dominant ecological trait strategy.,Species maximum-height composition is distinct from measured plot canopy height.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES
FDis,FUNCTIONAL_DIVERSITY,FUNCTIONAL_DIVERSITY,Functional trait dispersion,FULL_90_PLOT_BACKBONE,NOT_APPLICABLE,False,False,True,INTERACTION_SIMPLE_EFFECTS,Interaction supported by HC3 robust inference but not by classical Type III inference; simple-effect conclusions are robustness-dependent.,2.0,5.0,2 persistent and 5 emergent adjusted cross-domain associations.,1.156544785602645,2.0,Monitor breadth and distribution of ecological strategies.,Zone × Habitat interaction is dependent on HC3 robust inference.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES
FEve,FUNCTIONAL_DIVERSITY,FUNCTIONAL_DIVERSITY,Functional-space evenness,FULL_90_PLOT_BACKBONE,NOT_APPLICABLE,False,False,False,NO_FDR_SUPPORTED_FACTORIAL_EFFECT,,2.0,1.0,2 persistent and 1 emergent adjusted cross-domain associations.,0.8571041081130804,2.0,Monitor breadth and distribution of ecological strategies.,One plot lacks FEve; factorial effects were not FDR-supported.,TWO_EVIDENCE_LINES
Estimated_Mean_DBH,STRUCTURAL_ECOLOGY,STRUCTURE,Estimated plot tree-size structure,FACTORIAL_STRUCTURAL_SET_>=75,>=75% for factorial structural inference,False,True,True,INTERACTION_SIMPLE_EFFECTS,Habitat and Zone×Habitat interaction are stable on raw and log scales. Marginal Zone effect is not considered stable.,1.0,2.0,1 persistent and 2 emergent adjusted cross-domain associations.,0.7547593050868677,3.0,Monitor forest size and vertical structural configuration.,Estimated from validated species × Habitat × Zone structural summaries; not direct plot stem measurement.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES
Estimated_Mean_Height,STRUCTURAL_ECOLOGY,STRUCTURE,Estimated vertical structural development,FACTORIAL_STRUCTURAL_SET_>=75,>=75% for factorial structural inference,True,True,True,INTERACTION_SIMPLE_EFFECTS,,1.0,2.0,1 persistent and 2 emergent adjusted cross-domain associations.,0.8252999759435746,3.0,Monitor forest size and vertical structural configuration.,Estimated from validated species × Habitat × Zone structural summaries; not direct plot canopy measurement.,MULTIPLE_INDEPENDENT_EVIDENCE_LINES
Ecological_Typology,INTEGRATED_ECOLOGY,MULTIVARIATE_STATE,Integrated ecological state classification,TYPOLOGY_DISCOVERY_SET_82,>=75% plus complete 10-metric profile,,,,FOUR_STATE_INTEGRATED_TYPOLOGY,Applies to 82-plot complete >=75% structural discovery set.,,,Integrated state summarizing all four ecological domains.,,,Monitor transitions among integrated ecological states.,"Descriptive multivariate ecological syndrome; does not imply disturbance, succession or condition.",VALIDATED_MULTIVARIATE_STATE
